,Fall,MajorName,College,Total,Male,Female,AbsDif,AbsDifMale,AbsDifFemale,RelDif,RelDifMale,RelDifFemale
197,2018,Industrial Engineering,Engineering,367,262.0,105.0,179.0,132.0,47.0,95.2127659574468,101.53846153846153,81.03448275862068
198,2018,Computer Science,Engineering,2318,1757.0,559.0,2101.0,1580.0,519.0,968.2027649769585,892.6553672316384,1297.5
201,1980,Nuclear Engineering,Engineering,187,178.0,9.0,-187.0,-178.0,-9.0,-100.0,-100.0,-100.0
202,1980,GEN ENGR,Engineering,618,485.0,133.0,-618.0,-485.0,-133.0,-100.0,-100.0,-100.0
204,2018,Crafts,Fine and Applied Arts,4,0.0,4.0,-16.0,-5.0,-11.0,-80.0,-100.0,-73.33333333333333
205,2018,Dance,Fine and Applied Arts,68,9.0,59.0,27.0,4.0,23.0,65.85365853658537,80.0,63.888888888888886
206,2018,Computer Science and Music,Fine and Applied Arts,1,1.0,0.0,1.0,1.0,0.0,10000.0,10000.0,10000.0
207,1980,MUS-VOICE,Fine and Applied Arts,44,15.0,29.0,-44.0,-15.0,-29.0,-100.0,-100.0,-100.0
208,2018,History of Art,Fine and Applied Arts,8,3.0,5.0,8.0,3.0,5.0,10000.0,10000.0,10000.0
209,2018,Urban Studies & Planning,Fine and Applied Arts,80,49.0,31.0,80.0,49.0,31.0,10000.0,10000.0,10000.0
210,2018,Urban Planning,Fine and Applied Arts,53,26.0,27.0,-39.0,-23.0,-16.0,-42.391304347826086,-46.93877551020408,-37.2093023255814
211,2018,Theatre,Fine and Applied Arts,201,85.0,115.0,79.0,29.0,49.0,64.75409836065575,51.78571428571429,74.24242424242425
212,2018,Sculpture,Fine and Applied Arts,3,2.0,1.0,3.0,2.0,1.0,10000.0,10000.0,10000.0
213,2018,Regional Planning,Fine and Applied Arts,16,10.0,6.0,16.0,10.0,6.0,10000.0,10000.0,10000.0
215,2018,Photography,Fine and Applied Arts,32,8.0,24.0,32.0,8.0,24.0,10000.0,10000.0,10000.0
216,2018,Painting,Fine and Applied Arts,36,4.0,32.0,36.0,4.0,32.0,10000.0,10000.0,10000.0
218,2018,Open Studies,Fine and Applied Arts,5,2.0,3.0,5.0,2.0,3.0,10000.0,10000.0,10000.0
220,2018,Nondegree,Fine and Applied Arts,38,17.0,21.0,38.0,17.0,21.0,10000.0,10000.0,10000.0
223,2018,New Media,Fine and Applied Arts,29,7.0,22.0,29.0,7.0,22.0,10000.0,10000.0,10000.0
224,2018,Musicology,Fine and Applied Arts,19,11.0,8.0,19.0,11.0,8.0,10000.0,10000.0,10000.0
225,2018,Music Education,Fine and Applied Arts,152,72.0,80.0,-157.0,-58.0,-99.0,-50.80906148867314,-44.61538461538462,-55.3072625698324
226,2018,Music Composition,Fine and Applied Arts,10,10.0,0.0,10.0,10.0,0.0,10000.0,10000.0,10000.0
227,2018,Music,Fine and Applied Arts,338,178.0,160.0,87.0,34.0,53.0,34.66135458167331,23.61111111111111,49.532710280373834
228,2018,Lyric Theatre,Fine and Applied Arts,12,2.0,10.0,12.0,2.0,10.0,10000.0,10000.0,10000.0
229,2018,Landscape Architecture,Fine and Applied Arts,108,32.0,76.0,-50.0,-65.0,15.0,-31.645569620253166,-67.0103092783505,24.59016393442623
230,2018,Jazz Performance,Fine and Applied Arts,31,25.0,6.0,31.0,25.0,6.0,10000.0,10000.0,10000.0
231,2018,Instrumental Music,Fine and Applied Arts,77,30.0,47.0,77.0,30.0,47.0,10000.0,10000.0,10000.0
232,2018,Graphic Design,Fine and Applied Arts,185,58.0,127.0,21.0,18.0,3.0,12.804878048780488,45.0,2.4193548387096775
233,2018,Industrial Design,Fine and Applied Arts,201,99.0,102.0,104.0,43.0,61.0,107.21649484536083,76.78571428571429,148.78048780487805
234,2018,Voice,Fine and Applied Arts,25,8.0,17.0,25.0,8.0,17.0,10000.0,10000.0,10000.0
238,2018,Art History,Fine and Applied Arts,14,2.0,12.0,-45.0,-12.0,-33.0,-76.27118644067797,-85.71428571428571,-73.33333333333333
239,2018,Art Foundation,Fine and Applied Arts,15,3.0,12.0,15.0,3.0,12.0,10000.0,10000.0,10000.0
240,1980,PERFORM ST,Fine and Applied Arts,24,18.0,6.0,-24.0,-18.0,-6.0,-100.0,-100.0,-100.0
241,2018,Art Education,Fine and Applied Arts,54,3.0,51.0,-18.0,-10.0,-8.0,-25.0,-76.92307692307693,-13.559322033898304
242,2018,Architecture,Fine and Applied Arts,199,99.0,99.0,13.0,-55.0,67.0,6.989247311827956,-35.714285714285715,209.375
243,1980,UNCLASS,Fine and Applied Arts,65,22.0,43.0,-65.0,-22.0,-43.0,-100.0,-100.0,-100.0
244,2018,Architectural Studies,Fine and Applied Arts,418,251.0,167.0,-209.0,-223.0,14.0,-33.33333333333333,-47.04641350210971,9.15032679738562
246,1980,Music History,Fine and Applied Arts,4,1.0,3.0,-4.0,-1.0,-3.0,-100.0,-100.0,-100.0
248,2018,Art and Design,Fine and Applied Arts,47,18.0,29.0,-316.0,-97.0,-219.0,-87.05234159779614,-84.34782608695653,-88.30645161290323
251,1980,MUSIC-COMP,Fine and Applied Arts,19,16.0,3.0,-19.0,-16.0,-3.0,-100.0,-100.0,-100.0
252,1980,MUSIC-INST,Fine and Applied Arts,105,54.0,51.0,-105.0,-54.0,-51.0,-100.0,-100.0,-100.0
253,1980,TCH DANCE,Fine and Applied Arts,8,0.0,8.0,-8.0,-0.0,-8.0,-100.0,-100.0,-100.0
256,2018,Informatics,Graduate,45,26.0,19.0,45.0,26.0,19.0,10000.0,10000.0,10000.0
257,2018,Nondegree,Graduate,15,11.0,4.0,15.0,11.0,4.0,10000.0,10000.0,10000.0
262,1980,HR&FS,LAS,61,0.0,61.0,-61.0,-0.0,-61.0,-100.0,-100.0,-100.0
264,1980,Asian Studies,LAS,17,10.0,7.0,-17.0,-10.0,-7.0,-100.0,-100.0,-100.0
265,2018,Neuroscience,LAS,54,22.0,32.0,54.0,22.0,32.0,10000.0,10000.0,10000.0
266,2018,Cell and Developmental Biology,LAS,31,13.0,18.0,31.0,13.0,18.0,10000.0,10000.0,10000.0
267,2018,Molecular and Cellular Biology,LAS,953,418.0,535.0,953.0,418.0,535.0,10000.0,10000.0,10000.0
269,2018,Latin American Studies,LAS,5,4.0,1.0,5.0,4.0,1.0,10000.0,10000.0,10000.0
271,2018,Linguistics,LAS,125,50.0,75.0,62.0,18.0,44.0,98.4126984126984,56.25,141.93548387096774
272,1980,TCH ENGL,LAS,55,8.0,47.0,-55.0,-8.0,-47.0,-100.0,-100.0,-100.0
274,1980,TCH BIOL,LAS,17,6.0,11.0,-17.0,-6.0,-11.0,-100.0,-100.0,-100.0
276,2018,Math & Computer Science,LAS,273,225.0,48.0,273.0,225.0,48.0,10000.0,10000.0,10000.0
278,2018,Microbiology,LAS,49,20.0,29.0,-10.0,-14.0,4.0,-16.94915254237288,-41.17647058823529,16.0
279,1980,Speech Communication,LAS,49,27.0,22.0,-49.0,-27.0,-22.0,-100.0,-100.0,-100.0
280,2018,Molecular & Integrative Physi,LAS,23,8.0,15.0,-34.0,-35.0,1.0,-59.64912280701754,-81.3953488372093,7.142857142857142
281,2018,Molecular&Cell Bio-undeclared,LAS,27,12.0,15.0,27.0,12.0,15.0,10000.0,10000.0,10000.0
283,2018,Mathematics,LAS,772,506.0,265.0,633.0,387.0,245.0,455.39568345323744,325.21008403361344,1225.0
284,2018,Nondegree,LAS,149,76.0,73.0,149.0,76.0,73.0,10000.0,10000.0,10000.0
285,2018,Physics,LAS,275,219.0,56.0,-87.0,-117.0,30.0,-24.03314917127072,-34.82142857142857,115.38461538461537
288,2018,Statistics,LAS,561,325.0,236.0,550.0,319.0,231.0,5000.0,5316.666666666666,4620.0
289,2018,Statistics & Computer Science,LAS,259,195.0,64.0,259.0,195.0,64.0,10000.0,10000.0,10000.0
290,2018,Teaching of Biological Science,LAS,24,9.0,15.0,23.0,8.0,15.0,2300.0,800.0,10000.0
291,2018,Teaching of Chemistry,LAS,1,0.0,1.0,-6.0,-3.0,-3.0,-85.71428571428571,-100.0,-75.0
292,2018,Teaching of English Sec Lang,LAS,28,5.0,23.0,-47.0,-10.0,-37.0,-62.66666666666667,-66.66666666666666,-61.66666666666667
