Fall,MajorName,College,Total,Male,Female
2018,Social Work,Social Work,607,86.0,521.0
1980,Social Work,Social Work,315,69.0,246.0
1980,VMS - Veterinary Pathobiology,VetMed,21,12.0,9.0
1980,VMS-Veterinary Clinical Medcne,VetMed,11,8.0,3.0
1980,Veterinary Medical Science,VetMed,28,20.0,8.0
1980,Veterinary Medicine,VetMed,355,210.0,145.0
2018,Veterinary Medicine,VetMed,545,75.0,470.0
2018,VMS - Comparative Biosciences,VetMed,19,2.0,17.0
2018,VMS - Pathobiology,VetMed,29,12.0,17.0
2018,VMS-Veterinary Clinical Medcne,VetMed,34,9.0,25.0
1980,VMS - Veterinary Biosciences,VetMed,22,11.0,11.0
2018,Bioinformatics,iSchool,4,3.0,1.0
1980,Library & Information Science,iSchool,142,34.0,108.0
2018,Information Management,iSchool,276,131.0,145.0
2018,Library & Information Science,iSchool,529,116.0,408.0
