,Fall,MajorName,College,Total,Male,Female
200,1998.0,"Recreation, Sport, and Tourism ",ACES,80.0,54.0,26.0
201,1987.0,INT DSGN,ACES,114.0,7.0,107.0
202,1999.0,Animal Sciences,ACES,594.0,193.0,401.0
203,1998.0,Secondary Education,ACES,17.0,4.0,13.0
204,1987.0,ORN HORT,ACES,74.0,35.0,39.0
205,1987.0,Nutritional Sciences,ACES,44.0,17.0,27.0
206,1998.0,Spanish,ACES,55.0,21.0,34.0
207,1998.0,Speech & Hearing Science,ACES,205.0,5.0,200.0
208,1998.0,Statistics,ACES,15.0,5.0,10.0
209,1998.0,Teaching of Biological Science,ACES,7.0,0.0,7.0
210,1998.0,Teaching of Chemistry,ACES,7.0,4.0,3.0
211,1998.0,Teaching of Earth Science,ACES,3.0,2.0,1.0
212,1998.0,Teaching of English Sec Lang,ACES,64.0,15.0,49.0
213,1998.0,Teaching of French,ACES,3.0,2.0,1.0
214,1998.0,Teaching of German,ACES,4.0,1.0,3.0
215,1987.0,Mechanical Agriculture,ACES,24.0,24.0,0.0
216,1998.0,Teaching of Latin,ACES,3.0,2.0,1.0
217,1998.0,Teaching of Mathematics,ACES,8.0,3.0,5.0
218,1998.0,Teaching of Physics,ACES,2.0,2.0,0.0
219,1987.0,MKT TEXT&A,ACES,127.0,4.0,123.0
220,1999.0,Agr & Consumer Economics,ACES,318.0,205.0,113.0
221,1999.0,Agr & Environmental Cmc & Educ,ACES,127.0,45.0,82.0
222,1999.0,Agr Engineering & Agr Science,ACES,59.0,51.0,8.0
223,1999.0,Agricultural & Applied Econ,ACES,54.0,40.0,14.0
224,1999.0,Agricultural Communications,ACES,7.0,2.0,5.0
225,1999.0,Agricultural Engineering,ACES,2.0,1.0,1.0
226,1999.0,Agricultural Sciences,ACES,2.0,1.0,1.0
227,1999.0,Agronomy,ACES,24.0,15.0,9.0
228,1987.0,Industrial Agriculture,ACES,91.0,71.0,20.0
229,1998.0,CFTM-MKT&PRICE,ACES,24.0,19.0,5.0
230,1986.0,HR&FS A&ID,ACES,11.0,1.0,10.0
231,1986.0,H DVL-FAM,ACES,90.0,3.0,87.0
232,2003.0,Agr & Environmental Cmc & Educ,ACES,136.0,46.0,90.0
233,2003.0,Agr Engineering & Agr Science,ACES,40.0,36.0,4.0
234,2003.0,Agricultural & Applied Econ,ACES,1.0,1.0,0.0
235,1985.0,EXT EDUC,ACES,13.0,7.0,6.0
236,2003.0,Animal Sciences,ACES,571.0,158.0,413.0
237,2003.0,CFTM-CNSMR&TXTL,ACES,15.0,1.0,14.0
238,2003.0,CTM-CNSMR&TXTL,ACES,119.0,10.0,109.0
239,2003.0,Crop Sciences,ACES,145.0,94.0,51.0
240,1985.0,DIETETICS,ACES,70.0,2.0,68.0
241,1985.0,DAIRY SCI,ACES,53.0,39.0,14.0
242,2003.0,Food Science & Human Nutrition,ACES,391.0,109.0,282.0
243,2003.0,Agr & Consumer Economics,ACES,360.0,244.0,116.0
244,2003.0,Forestry,ACES,14.0,13.0,1.0
245,2003.0,HDFS-FS,ACES,56.0,5.0,51.0
246,2003.0,HORT -- P&M,ACES,54.0,30.0,24.0
247,2003.0,HORT--HORT SCI,ACES,5.0,2.0,3.0
248,2003.0,Horticulture,ACES,5.0,4.0,1.0
249,1985.0,CORE CURR,ACES,82.0,55.0,27.0
250,1985.0,CONSM ECON,ACES,30.0,8.0,22.0
251,2003.0,Human & Community Development,ACES,26.0,3.0,23.0
252,2003.0,IRCE-CONS EC&F,ACES,87.0,54.0,33.0
253,2003.0,IRCE-E&NR MGMT,ACES,2.0,2.0,0.0
254,2003.0,IRCE-INDCURRIC,ACES,9.0,6.0,3.0
255,2003.0,"IRCE-POL,TRD,DV",ACES,37.0,21.0,16.0
256,2003.0,HDFS-CH&AD DEV,ACES,138.0,8.0,130.0
257,1985.0,FAM&CON EC,ACES,15.0,6.0,9.0
258,2002.0,Teaching of Physics,ACES,1.0,0.0,1.0
259,1985.0,Food Science & Human Nutrition,ACES,199.0,63.0,136.0
260,2002.0,Natural Resrcs & Environ Sci,ACES,143.0,78.0,65.0
261,2002.0,Nondegree,ACES,13.0,7.0,6.0
262,2002.0,Nutritional Sciences,ACES,35.0,8.0,27.0
263,2002.0,Physics,ACES,310.0,268.0,42.0
264,2002.0,"Recreation, Sport, and Tourism ",ACES,166.0,126.0,40.0
265,1985.0,Industrial Agriculture,ACES,86.0,66.0,20.0
266,1985.0,INT DSGN,ACES,143.0,10.0,133.0
267,1985.0,INST MGMT,ACES,9.0,3.0,6.0
268,1985.0,Horticulture,ACES,56.0,38.0,18.0
269,1985.0,HU DEV&FAM,ACES,18.0,1.0,17.0
270,1985.0,HR&FS GEN,ACES,6.0,0.0,6.0
271,1985.0,HR&FS A&ID,ACES,10.0,1.0,9.0
272,2002.0,Spanish,ACES,64.0,23.0,41.0
273,1985.0,H DVL-FAM,ACES,80.0,1.0,79.0
274,2002.0,Speech & Hearing Science,ACES,280.0,13.0,267.0
275,2002.0,Statistics,ACES,27.0,9.0,18.0
276,2002.0,Teaching of Biological Science,ACES,3.0,0.0,3.0
277,2002.0,Teaching of Chemistry,ACES,12.0,3.0,9.0
278,2002.0,Teaching of English Sec Lang,ACES,53.0,11.0,42.0
279,1985.0,GEN H ECON,ACES,10.0,0.0,10.0
280,2002.0,Teaching of French,ACES,4.0,0.0,4.0
281,2002.0,Teaching of Latin,ACES,3.0,2.0,1.0
282,1985.0,GEN AGR,ACES,32.0,23.0,9.0
283,2002.0,Teaching of Mathematics,ACES,1.0,0.0,1.0
284,1985.0,Forestry,ACES,78.0,56.0,22.0
285,2003.0,NRES-BIOL SCI,ACES,55.0,33.0,22.0
286,2003.0,NRES-ENV S W,ACES,14.0,6.0,8.0
287,2003.0,NRES-F & W CONS,ACES,35.0,22.0,13.0
288,2003.0,NRES-SOC SCI,ACES,39.0,18.0,21.0
289,1984.0,Teaching of French,ACES,20.0,4.0,16.0
290,1984.0,Teaching of English Sec Lang,ACES,73.0,17.0,56.0
291,1984.0,Teaching of Earth Science,ACES,1.0,0.0,1.0
292,1984.0,Teaching of Chemistry,ACES,11.0,4.0,7.0
293,1984.0,Teaching of Biological Science,ACES,3.0,1.0,2.0
294,1984.0,TEXT-APPRL,ACES,28.0,1.0,27.0
295,2004.0,Agr & Consumer Economics,ACES,85.0,50.0,35.0
296,2004.0,Agr & Environmental Cmc & Educ,ACES,112.0,37.0,75.0
297,2004.0,Agr Engineering & Agr Science,ACES,45.0,39.0,6.0
298,2004.0,"Agribusiness, Farm & Financial ",ACES,286.0,197.0,87.0
299,2004.0,Agricultural Economics,ACES,1.0,1.0,0.0
300,2004.0,Agricultural Education,ACES,10.0,0.0,10.0
301,2004.0,Animal Sciences,ACES,594.0,161.0,433.0
302,1984.0,Statistics,ACES,31.0,18.0,13.0
303,1984.0,Speech & Hearing Science,ACES,128.0,4.0,124.0
304,2004.0,Consumer and Textile Marketing,ACES,99.0,3.0,96.0
305,1984.0,Spanish,ACES,46.0,6.0,40.0
306,2004.0,Crop Sciences,ACES,154.0,105.0,48.0
307,1984.0,Secondary Education,ACES,40.0,12.0,28.0
308,1984.0,SOIL SCI,ACES,3.0,3.0,0.0
309,1984.0,REST MGMT,ACES,79.0,39.0,40.0
310,2004.0,Food Science & Human Nutrition,ACES,413.0,95.0,318.0
311,2004.0,Forestry,ACES,5.0,4.0,1.0
312,2004.0,Horticulture,ACES,74.0,50.0,24.0
313,1984.0,Physics,ACES,376.0,341.0,35.0
314,1984.0,Teaching of German,ACES,9.0,2.0,7.0
315,2002.0,Natural Res & Env Sciences,ACES,3.0,2.0,1.0
316,1984.0,Teaching of Mathematics,ACES,39.0,13.0,26.0
317,2003.0,Teaching of Physics,ACES,1.0,0.0,1.0
318,2003.0,Natural Res & Env Sciences,ACES,67.0,42.0,25.0
319,2003.0,Natural Resrcs & Environ Sci,ACES,137.0,81.0,56.0
320,2003.0,Nondegree,ACES,17.0,7.0,10.0
321,1985.0,Application Design,ACES,18.0,1.0,17.0
322,2003.0,Nutritional Sciences,ACES,44.0,9.0,35.0
323,1985.0,Animal Sciences,ACES,441.0,213.0,228.0
324,1985.0,Agronomy,ACES,194.0,152.0,42.0
325,1985.0,Agricultural Sciences,ACES,61.0,36.0,25.0
326,1985.0,Agricultural Engineering,ACES,74.0,70.0,4.0
327,1985.0,Agricultural Education,ACES,15.0,13.0,2.0
328,1985.0,Agricultural Communications,ACES,77.0,25.0,52.0
329,1985.0,Agricultural & Applied Econ,ACES,442.0,368.0,74.0
330,1985.0,Agr & Environmental Cmc & Educ,ACES,3.0,0.0,3.0
331,2003.0,Physics,ACES,350.0,298.0,52.0
332,2003.0,"Recreation, Sport, and Tourism ",ACES,153.0,117.0,36.0
333,1984.0,VOC H E ED,ACES,13.0,0.0,13.0
334,2003.0,Spanish,ACES,58.0,22.0,36.0
335,2003.0,Speech & Hearing Science,ACES,285.0,15.0,270.0
336,2003.0,Statistics,ACES,27.0,10.0,17.0
337,2003.0,Teaching of Biological Science,ACES,4.0,0.0,4.0
338,2003.0,Teaching of Chemistry,ACES,11.0,3.0,8.0
339,2003.0,Teaching of English Sec Lang,ACES,60.0,12.0,48.0
340,2003.0,Teaching of French,ACES,5.0,0.0,5.0
341,2003.0,Teaching of Latin,ACES,5.0,3.0,2.0
342,2003.0,Teaching of Mathematics,ACES,3.0,0.0,3.0
343,1984.0,Teaching of Physics,ACES,3.0,2.0,1.0
344,2002.0,NRES-SOC SCI,ACES,65.0,28.0,37.0
345,1985.0,MKT TEXT&A,ACES,192.0,5.0,187.0
346,2002.0,NRES-F & W CONS,ACES,41.0,28.0,13.0
347,2001.0,Human & Community Development,ACES,25.0,4.0,21.0
348,2001.0,IRCE-CONS EC&F,ACES,90.0,59.0,31.0
349,1986.0,CORE CURR,ACES,71.0,54.0,17.0
350,1986.0,CONSM ECON,ACES,36.0,13.0,23.0
351,2001.0,IRCE-E&NR MGMT,ACES,6.0,2.0,4.0
352,2001.0,IRCE-INDCURRIC,ACES,7.0,4.0,3.0
353,2001.0,"IRCE-POL,TRD,DV",ACES,36.0,17.0,19.0
354,2001.0,NRES-BIOL SCI,ACES,104.0,54.0,50.0
355,2001.0,NRES-ENV S W,ACES,11.0,7.0,4.0
356,2001.0,NRES-F & W CONS,ACES,26.0,17.0,9.0
357,2001.0,NRES-SOC SCI,ACES,79.0,36.0,43.0
358,2001.0,Natural Resrcs & Environ Sci,ACES,133.0,74.0,59.0
359,2001.0,Nondegree,ACES,17.0,9.0,8.0
360,2001.0,Nutritional Sciences,ACES,34.0,10.0,24.0
361,2001.0,ORN HORT,ACES,1.0,0.0,1.0
362,1986.0,Application Design,ACES,9.0,0.0,9.0
363,2001.0,PLANT PATH,ACES,1.0,0.0,1.0
364,1986.0,Animal Sciences,ACES,392.0,196.0,196.0
365,1986.0,Agronomy,ACES,177.0,137.0,40.0
366,1986.0,Agricultural Sciences,ACES,58.0,40.0,18.0
367,2001.0,Physics,ACES,307.0,267.0,40.0
368,1986.0,Agricultural Engineering,ACES,69.0,66.0,3.0
369,1986.0,Agricultural Education,ACES,15.0,14.0,1.0
370,1986.0,Agricultural Communications,ACES,74.0,20.0,54.0
